text,class
'İran İletişim ve Bilgi Teknolojileri Bakanı Mohammad Javad Azari-Jahromi ABD’nin kendisine uyguladığı yaptırımlara tepki gösterdi. İran haber ajansı ISNA’da yer alan habere göre ABD Hazine Bakanlığı’nın ‘İran’da devam eden geniş çaplı internet sansürü’ sebebiyle kendisine uygulanacak yaptırımlara tepki gösteren Azari-Jahromi şunları söyledi:“Trump’ın peri masalında yaptırım uygulananlar kulübünün tek üyesi ben değilim. Benden önce İran startupları yazılım geliştiricileri kanser hastaları ve çocuklar burada yer almıştı. İnternet erişimini savunmaya devam edecek ve ABD’nin İran’ın gelişiminin önüne geçmesine izin vermeyeceğim!�?ABD İranı 180 milyon dolar tazminata mahkum etti Öte yandan ABD mahkemesi yaptığı iddiasıyla 18 ay İran’da tutuklu kalan ve 2016’da serbest bırakılan Washington Post muhabiri Jason Rızaiyan’ın söz konusu tutukluluk süresi boyunca ettiği zararlar sebebiyle İran hükümetinin 180 milyon dolar tazminat ödemesine hükmetti. ',Dunya
'Polonyada hasta bir tilki alışveriş merkezine sığındı. Yakalanan hayvan barınağa götürülerek tedavi altına alındı. Polonyanın Inowroclaw kentinde bir alışveriş merkezinde bulunan yapı markete tilki girdi. Müşterilerin ve çalışanların şaşkın bakışları arasında markete dalan tilki reyonlar arasında hızlıca gözden kayboldu. Çalışanların haber vermesi üzerine yapı markete zabıta ekipleri ve hayvan barınağı görevlileri geldi. Marketin rafları arasında tilkinin yerini belirleyen ekipler daha sonra tilkinin kaçmaması için bulunduğu kısmı suntalar yardımıyla çembere aldı. Uzun süren uğraşlar sonucu barınak görevlileri tilkiyi yakalamayı başardı. Görevlilerin beraberinde getirdiği kafese konulan tilki kafesten çıkabilmek için zaman zaman kafesin demirlerini ısırarak parçalamaya çalıştı. Barınağa götürülen tilkinin yapılan muayenesinde hasta olduğu belirlendi. Barınak yetkilileri tedavisine başlanan tilkinin sağlığına kavuşmasının ardından doğaya salınacağını bildirdi. ',Dunya
'Fasın güneyindeki Sidi İfni bölgesi sahilinde bir balıkçı teknesinin batması sonucu 2 kişi öldü 14 kişi kayboldu. Fas resmi haber ajansı MAPin haberinde ülkenin güney sahilindeki Sidi İfni bölgesinde batan teknedeki balıkçılardan ikisinin cesedinin 20 mil açıkta bulunduğu bildirildi.19 Kasımda Tantan limanından denize açılan teknede bulunan kayıp 14 balıkçı için de arama çalışmalarının sürdüğü belirtildi. ',Dunya
'ABDnin Suriye Özel Temsilcisi Jeffrey \"Bizim için en önemli konu petrolün DEAŞ ve diğer aktörlerin eline geçmesini engellemek. Yasadışı hiçbir şey yapmıyoruz.\" dedi. ABDnin Suriye Özel Temsilcisi James Jeffrey Suriyenin doğusundaki petrol sahalarını \"güvenceye almalarına\" ilişkin \"Suriye Demokratik Güçleri (SDG) 4 yıldır kontrol ettiği petrol sahalarında çalışmaya devam ediyor biz de Suriye stratejimizin bir parçası olarak buna yardım edeceğiz.\" dedi.Jeffrey BM Güvenlik Konseyindeki Suriye toplantısı öncesi gazetecilere açıklamalarda bulundu.ABD Başkanı Donald Trumpın Suriyenin doğusundaki petrol sahalarını \"güvenceye aldıkları\" yönündeki açıklamasının uluslararası yasal dayanağı sorulan Jeffrey \"Bunun her türlü yasal olduğuna inanıyorum.\" yanıtını verdi.Suriyedeki Amerikan askerinin orada kalıp terör örgütü DEAŞ ile mücadelede \"en tutarlı ortakları\" olarak nitelendirdiği terör örgütü YPG/PKKnın omurgasını oluşturduğu Suriye Demokratik Güçleri (SDG) ile çalışmaya devam edeceklerini belirten Jeffrey \"Bizim için en önemli konu petrolün DEAŞ ve diğer aktörlerin eline geçmesini engellemek. Yasadışı hiçbir şey yapmıyoruz.\" değerlendirmesinde bulundu. Jeffrey \"SDG 4 yıldır kontrol ettiği petrol sahalarında çalışmaya devam ediyor biz de Suriye stratejimizin bir parçası olarak buna yardım edeceğiz. diye konuştu.İdlibdeki gelişmelerin ise son derece endişe verici olduğunu belirten Jeffrey \"Ülke genelinde bir ateşkese ihtiyacımız var. Bunun İdlibden başlaması gerek.\" ifadesini kullandı. ',Dunya
'Fransa Cumhurbaşkanı Emmanuel Macron sarı yeleklilerin gösterilerinin başlamasına neden olan akaryakıt zamları konusunda hata yaptığını itiraf etti. Macron BFMTV kanalında yaptığı açıklamada işe gitmek için araçlarını kullanan alt ve orta gelirli insanların ekonomik olarak güçlenmesi için geçen yıl adımlar atmaları gerektiğini belirtti. Geçen yıl akaryakıta zam yaparak hatalı davrandıklarını vurgulayan Macron akaryakıta zam yaparken bir geçiş süreci inşa etmeleri gerektiğini ifade etti. Macron sarı yeleklilerin eylemlerine bir yıl önce katılanlarla bugün sokağa çıkanların aynı kişiler olmadığına inandığını söyledi. Sarı yeleklilerin gösterileri 17 Kasım 2018de akaryakıt zamlarına ve kötü ekonomik koşullara tepki olarak başlamıştı. Macron ve hükümet sarı yeleklilerin taleplerine yanıt olarak bazı ekonomik tavizlerde bulunsa da bu onları tatmin etmedi.Hükümetin paylaştığı son verilere göre gösterilerde 4 bin 245 kişi yaralandı 12 bin 107 kişi gözaltına alındı ve 3 bin 163 kişiye hapis cezası verildi. ',Dunya
'ABD Federal Haberleşme Komisyonu \"güvenlik tehdidi\" gerekçesiyle Çin merkezli iki şirkete ait ekipman alımına yönelik devlet finansmanını kesti. Konuya ilişkin oylama yapan Federal Haberleşme Komisyonu Amerikan telekomünikasyon firmalarının devlet desteğiyle Huawei ve ZTE şirketlerinden ekipman alımını \"güvenlik tehdidi\" gerekçesiyle engelleme kararı aldı.Komisyonun söz konusu Amerikan firmalarının daha önce satın aldıkları Huawei ve ZTE ekipmanlarını ellerinden çıkarmasına gerek olup olmadığı yönünde bir değerlendirme yaptığı belirtildi. ABD medyasında konuya ilişkin yer alan haberlerde büyük ölçekli firmaların zaten bu ekipmanları kullanmadığı için söz konusu karardan herhangi bir şekilde etkilenmeyeceği ancak küçük şirketlerin önemli ölçüde zarar göreceği ifade edildi.Öte yandan ZTE henüz herhangi bir yorumda bulunmazken Huawei yetkilileri ise kararı \"yasa dışı\" olarak tanımlayarak ekipmanlarının \"güvenlik tehdidi\" oluşturduğuna yönelik delil olmadığını vurguladı. ',Dunya
'Kolombiyada çeşitli sektörlerin genel grev kararı almasının ardından binlerce kişinin katıldığı hükümet karşıtı protestolarda 3 kişi öldü 122 kişi yaralandı. Ülke basınında çıkan haberlere göre işçi sendikaları öğrenci grupları çeşitli yerli topluluklar ve yüzlerce STKnin çağrısıyla alınan genel grev kararının ardından başkent Bogota başta olmak üzere birçok şehirde hükümet karşıtı protestolar düzenlendi. Dün başlayan gösterilere katılanlar Devlet Başkanı Ivan Duque hükümetini protesto etti. Eylemlerde 3 kişi öldü 122 kişi yaralandı. Bugünkü eylemlere sendikalar işçiler ve öğrenciler ile farklı grupların katılmasıyla protestolar büyüdü. Ulusal Grevin Kolombiyada 1977deki grevden bu yana en geniş çaplı gösteriler olduğu belirtiliyor. Kolombiya Dışişleri Bakanı Carlos Holmes Trujillo düzenlediği basın toplantısında gösterilerde iki kişinin Buenaventura kentinde diğerinin de Candelariadaki yağma olaylarının ortasında kalması sonucu öldüğünü belirterek 122 kişinin de yaralandığını kaydetti. Trujillo iki gündür devam eden protestolarda 98 kişinin gözaltına alındığını 207 kişinin de polis merkezine götürülerek ifadelerinin alındığını söyledi. Kitlesel gösteriler sırasında polisin aşırı güç kullanımınına yönelik 11 ayrı soruşturma başlatılacağının altını çizen Trujillo görevi kötüye kullananlar hakkında gerekenlerin yapılacağını belirtti. Trujillo ülke çapında toplu taşıma araçları ve kamu malına zarar verenlere karşı yetkililerle iş birliği içinde hareket edeceklerini vurgulayarak önlemlerin alınacağını kaydetti. Yetkililer gösterilerde 37 polisin yaralandığını güvenlik güçlerinin kamusal düzeni sağlamak için operasyonlar düzenlediğini açıkladı. Hükümet genel grev nedeniyle dün tüm kara ve deniz sınırlarını geçici süreliğine kapatmıştı. Ülkede geçen yıl birkaç ay süren ve zaman zaman şiddete dönüşen gösterilerde 8 kişi yaralanmış 65 kişi gözaltına alınmıştı. ',Dunya
'Kilisin karşısında bulunan Suriyenin Halep kentine bağlı Azez ilçesine terör örgütü PKK/YPG kontrolündeki Tel Rıfat bölgesinden gece geç saatlerde havan ve roketli saldırı düzenlendi. Saldırıda 3 kişi yaralandı. Gece saatlerinde terör örgütü PKK/YPG kontrolündeki Tel Rıfat bölgesinden Azez ilçe merkezine çok sayıda havan mermisi ve roket atıldı. Saldırılarda bazı evlerde hasar oluşurken 3 sivil de yaralandı. Yaralılar ambulanslarla hastaneye kaldırılırken havan ve roketli saldırıların yapıldığı bölge ise TSK birlikleri tarafından ateş altına alındı. ',Dunya
'Kolombiyada 21 Kasımda ilan edilen grevle başlayan gösteriler sonrasında hükümet ve tarafların anlaşamaması nedeniyle ilan edilen ikinci genel grev çerçevesinde ülkenin birçok bölgesinde protestolar devam ediyor. Bogotada Ulusal Parktan yola çıkan işçi sendikaları ve öğrenci grupları kentin tarihi merkezindeki Bolivar Meydanında toplandı. Kolombiya toplumsal olaylara müdahale birimi ESMAD mensubu polislerin meydandaki varlığına tepki gösteren protestocular uzun süre ESMAD aleyhine sloganlar attı. Polisler insan hakları konusunda çalışma yürüten resmi kamu denetçisi Defensoria del Pueblo görevlilerinin uyarılarıyla meydandan ayrılınca gerginlik sona erdi. Gün sonuna kadar Bolivar Meydanında toplanan yaklaşık 3 bin gösterici olaysız dağıldı. 21 Kasımdaki ilk genel grevin ardından özellikle geceleri birçok gösteri gerçekleştirilen Hippi Parkında da senfoni orkestrası konseri eşliğinde tencere ve sert isimlere vurularak yapılan \"Cacerolazo\" protestosu düzenlendi. Otoyolu kapatan öğrencilere müdahale Başkentteki diğer yürüyüş ise Ulusal Üniversite ve Ulusal Pedagoji Üniversitesi öğrencilerinin çoğunlukta olduğu göstericilerce gerçekleştirildi. Kent merkezinden yola çıkan 2 binden fazla protestocu Kuzey Otoyolunu trafiğe kapatarak şehrin çıkışına kadar ilerledi. Bogota trafiğini felç eden yürüyüşte göstericiler greve katılan kamyonların kapattığı kentin kuzey girişindeki metrobüs durağı önünde uzun süre bekledi. Yolda ateş yakan ve trafik akışına izin vermeyen göstericiler ESMADın göz yaşartıcı gazlı müdahalesiyle dağıldı. Kolombiyadaki gösteriler Kolombiyada 21 Kasımda ilan edilen genel grevle başlayan ve ülke çapına yayılan hükümet karşıtı gösteriler sırasında 4 kişi ölmüş 351 gösterici ile 182 polis yaralanmış yağmalama ve şiddet olayları nedeniyle yaklaşık 170 kişi gözaltına alınmıştı. Ülke çapında yüz binlerin katıldığı gösteriler nedeniyle 4 bin askerin polise destek olmak için sokağa indiği başkent Bogota ve Cali şehirlerinde sokağa çıkma yasağı ilan edilmiş daha sonra kaldırılmıştı. Devlet Başkanı Duque geçen hafta ülkede baş gösteren şiddet olaylarını kınamış ve halkın her kesiminin katılacağı ulusal diyalog masasının kurulacağını duyurmuştu. Ülkede genel grev düzenleyen grupların temsilcileri Duquenin diyaloğa sendika ve mahkeme başkanlarının da katılmasını istemesi üzerine hükümet ile kurulan diyalog masasından çekildiklerini açıklamıştı. ',Dunya
'Arnavutlukta Dıraç şehrine 15 kilometre uzaklıkta meydana gelen 63 büyüklüğündeki depremde hayatını kaybedenlerin sayısı 31e yükseldi. Bölgede başta Türk arama kurtarma ekipleri olmak üzere diğer ülkelerden gelen ekipler enkaz altında kalanlara ulaşmak için çalışmaları sürdürüyor. Arnavutluk Savunma Bakanlığından yapılan açıklamada depremde ölenlerin sayısının 31e çıktığı bildirildi. ',Dunya
